	baseMean	log2FoldChange	lfcSE	pvalue	padj
ST8SIA6-AS1	9.726555917726621	-1.3885790444522292	0.26035640675791544	1.551055655753232e-12	2.204541573596919e-10
CA1	431.0566402809189	-1.3943106321468375	0.2864572558789862	1.6093836731536192e-12	2.2687711552399877e-10
FOXD4L1	3.2132658678827335	1.0042022542743503	0.15090907642757154	1.6160902626694066e-12	2.268964450897397e-10
SPACA3	39.212572248418525	-1.3692736534589158	0.20785694576179467	1.899666911141596e-12	2.5729684618434685e-10
MIA2	4.244796435983697	1.068626191275531	0.1602102469606801	1.9425213162213422e-12	2.6207344226426845e-10
MUC5AC	1977.4239083413402	1.7354546239840565	0.26193940469901544	2.210062872767066e-12	2.9585717635515085e-10
RP11-473M20.9	103.64663598992232	-1.032955792241009	0.15784794077625253	2.8263192500652915e-12	3.683600538066228e-10
SPINK6	3.6896316570600076	-2.160546760555141	0.27153749072970657	2.9447760056698736e-12	3.809238714750041e-10
HSD3B2	11.101865093489792	2.3951893870570826	0.2843724545957707	3.377831697269014e-12	4.3049280870951e-10
ABCG8	19.696591037605618	1.3423758214254777	0.20477498960633175	3.4863490828757072e-12	4.4106785576689074e-10
SLC38A3	55.402575135926874	-1.467700996925915	0.22644694807772794	3.83572862285369e-12	4.817396188222573e-10
HOXC4	32.50962118338532	1.2755206588860846	0.19488595427175523	3.935456405361063e-12	4.88930911253095e-10
RP11-696F12.1	24.21339278673673	-2.0681080381156964	0.32277110590645947	5.4356423995134855e-12	6.473662661875751e-10
TBX10	143.02629722702488	-1.12619776247172	0.1749848831473265	5.509248158472066e-12	6.538777075508873e-10
ZNF793-AS1	15.910689947165533	-1.0550342869291898	0.16308892470203976	5.543042150642545e-12	6.556355815030556e-10
HOXC-AS2	5.639571405394263	1.7621345909468191	0.27117523877411237	5.654017355813174e-12	6.664793564337045e-10
TTC24	5.069199164141271	1.2374064054014	0.19102926528208364	6.9783102098493115e-12	8.197852994142024e-10
CACNA1B	25.0773733938724	-1.6616102844075549	0.23743532489069405	7.0092185097480245e-12	8.206250470836518e-10
ALOXE3	10.54009657077213	1.099987312258789	0.17117069676994195	8.008463430343778e-12	9.281755367691725e-10
KCNG1	79.33960665724595	-1.1953600255669719	0.18765481183299976	8.117619985953389e-12	9.34554530249527e-10
TMEM72	46.48092794025057	-1.124578089156257	0.1767997825862774	8.673014238740294e-12	9.91882668137789e-10
SOX2-OT	6.279189937150387	1.093201812809447	0.17027567376442368	1.090488816234758e-11	1.203300406872718e-09
VNN2	90.95806612825338	1.059099078769186	0.16615065126779047	1.1566841057708737e-11	1.2682398617496648e-09
AIM2	93.4706055352878	1.1341033197743964	0.1779637200632224	1.1746102278207242e-11	1.2838192420402587e-09
CRYBA2	15.362195977447492	1.599314383388883	0.19994668233255564	1.1950731241315723e-11	1.3020642132888406e-09
AC009336.19	4.153866020060462	1.0301355766459799	0.16112728367858642	1.217526759252504e-11	1.3140918503457184e-09
RP11-247A12.2	20.653651167267068	-1.1250721740300815	0.17853159423168524	1.2397364841311367e-11	1.3297521331963105e-09
LINC00941	38.99312136190232	1.2483453529581423	0.19626070282828081	1.2697324195133886e-11	1.3535190834923894e-09
GAD1	121.04964691476924	1.04973372930943	0.16506256903000266	1.3384023093974782e-11	1.405037658418544e-09
UGT1A1	19.50737794599808	1.5408355052569338	0.2430540710672846	1.3839942584851026e-11	1.448496778774499e-09
F10	277.03499569355006	-1.0127836243562824	0.16068071594279115	1.4168252404044508e-11	1.4758033013455048e-09
KRBOX1	7.475217675369598	-1.3051274680631595	0.22302713603349947	1.4186307720386462e-11	1.4758033013455048e-09
NEUROG3	29.387357271317338	1.7455362960529857	0.27590634810324566	1.4820534687669036e-11	1.5325497815650095e-09
LY6G6E	13.985503121214903	-1.1381835540109564	0.18083702292263187	1.5777719712576853e-11	1.6218181054552957e-09
ZNF663P	29.318039379516243	-1.667863646765376	0.26744869012015854	1.7819208982839904e-11	1.8048089145141484e-09
MIOX	12.36423520314122	1.163388126926562	0.18629652396508076	1.923514471533962e-11	1.9312308958674413e-09
NCR1	4.574850732973153	1.0795579687969263	0.17168538758419055	1.9648364986568388e-11	1.9670006663944895e-09
FADS6	35.57831683076301	-1.1963099644988198	0.26843109212122457	2.1419585768529214e-11	2.138120385183416e-09
XXbac-BPG32J3.19	438.35208443380134	-1.422317847393104	0.22989656048426782	2.467824337235672e-11	2.4283110244856303e-09
CARD17	3.576264936563306	1.1749093608078045	0.18966063765354776	2.581485106582688e-11	2.5186252150043186e-09
ZNF285	49.24172342073406	-1.0283819691948766	0.1657310616556417	2.7864517942909136e-11	2.6882254768497088e-09
GNG4	1766.2219968247657	-1.141435144232908	0.1854451405640723	2.9697662369654484e-11	2.833419510837366e-09
RP11-996F15.4	5.417074159209812	1.01863390180004	0.16313097420272654	3.195745456035008e-11	3.023243534957662e-09
B3GNT7	1537.064921705493	-1.0862272928463226	0.1763306143596816	3.203738299248666e-11	3.023243534957662e-09
XKR9	101.15465154497296	1.1244818736754638	0.18082237062728154	3.2717218555494246e-11	3.048048432713875e-09
PIPOX	250.33463349090584	-1.115962209125279	0.1810638667618061	3.2643963802004094e-11	3.048048432713875e-09
SLC1A7	305.69607957845466	-1.1772700805458909	0.19189405799216877	3.6876902069995346e-11	3.3783937498501305e-09
RP1-213J1P__B.1	3.787781149733073	-1.8938342884752293	0.307496163019057	4.033115179184095e-11	3.6180709625626045e-09
ZG16	2471.0464405435946	-1.7110677060311221	0.28018637456471895	4.101754638715433e-11	3.6606305351926e-09
B3GALT5-AS1	28.03760528952642	-1.688275559080496	0.2309675410729481	4.418551910544959e-11	3.890676752507934e-09
CTC-338M12.1	2.0697130276440423	1.4860999326970823	0.24344688564110717	4.719311802368661e-11	4.105682393708031e-09
FAM83C	13.653927530939598	-1.788423680032286	0.25716781943478395	5.187858975950495e-11	4.479456832784455e-09
UTF1	1.1907832764691089	-2.4991785681792935	0.42692861327621384	5.8030878475155254e-11	4.946386546249534e-09
SPIB	85.5919512842493	1.050142533609972	0.17210984892470224	6.759788909736947e-11	5.666737605934337e-09
ASB5	7.044362752569629	-1.6486748153763704	0.36618938996742606	6.870120415756911e-11	5.745283751075355e-09
PRKAA2	91.24163935688657	-1.2884765350893628	0.2136191470552318	6.979385368401738e-11	5.80853040611709e-09
XXYLT1-AS2	5.920025612887955	1.1922734437736062	0.19719249786872634	7.276139762447764e-11	6.040945074889925e-09
AC004009.2	1.9842606414696122	1.903897637181405	0.3131236349267446	7.375375011407794e-11	6.1086499315108486e-09
CHRNA7	28.511993257940187	1.213723585747045	0.2003945715366497	8.59575437529802e-11	7.018443607896998e-09
AC012531.25	4.134362694251495	1.9358918217523369	0.3162751076924709	8.630575332256193e-11	7.030254972298688e-09
CHST13	111.60450231721694	-1.065558409419796	0.17837084136744488	1.0688034303191588e-10	8.505606653539886e-09
KLK10	1932.4074215292624	1.1166443739670275	0.18790198100716818	1.828902964311888e-10	1.376179751228845e-08
UTS2	27.51318118002905	1.150307175835797	0.19413515270692042	2.0137712500141623e-10	1.4957340093115945e-08
GABRP	315.4066236018959	1.3361906250690103	0.22586470394468508	2.018411274521681e-10	1.495963274665876e-08
HMX3	7.752273227732137	1.801155470192718	0.3076303398948373	2.242498119737828e-10	1.658488223972272e-08
IDO1	622.7910165711379	1.1119150676368807	0.18435667755380492	2.407741390511767e-10	1.7618341556249027e-08
LYZ	20752.607061296574	1.0594360604364101	0.17912972641447603	2.473010950023879e-10	1.7981653093036786e-08
AKAP4	6.570786461175366	-1.4871630831505085	0.27117437087009205	2.489756006348921e-10	1.8065376669596437e-08
ONECUT3	144.5464457900501	1.2375690703822906	0.3436672671395443	2.6143725273503457e-10	1.8811499656172134e-08
RP11-13K12.5	9.549312980816874	-1.1851721632913101	0.20297868666823757	2.7063460954259997e-10	1.9352335702654902e-08
DRD2	177.38481469927297	-1.296331150778325	0.22381915124539364	2.7301892153401885e-10	1.948249485938418e-08
LY6G6D	430.7561171267758	-1.356588239157271	0.23520301717263445	3.2508513607523466e-10	2.272832070802926e-08
KRT41P	2.6946572351551534	-2.0148775004374686	0.34898940949486684	3.2923859807967406e-10	2.2972207475708654e-08
CEACAM20	3.1752518863927137	1.1775500584299907	0.2526169321582438	3.3941257388080407e-10	2.3634337654627445e-08
AC005256.1	14.11540362164435	1.2167271320463198	0.2103831106008343	3.536507062917421e-10	2.44777316511106e-08
SLC13A3	362.99271761379566	-1.1624549632372778	0.20258133132294628	4.01985273467675e-10	2.7384156558237788e-08
ERP27	295.25773585558045	-1.016643660812963	0.1766385315688338	4.093660959436463e-10	2.7668661881999323e-08
ANKRD18B	11.409895037284166	-1.4553137651551997	0.2529401998066704	4.2382784465628406e-10	2.85901681615991e-08
RP11-95M15.1	4.928770577365253	1.1098759587408844	0.19212379804061067	4.2990455406734203e-10	2.894355455824144e-08
NPW	80.21111416187674	-1.0928159927659578	0.19110954706699645	4.788638464954934e-10	3.199032791153066e-08
RP11-169F17.1	18.34406187428266	-1.1719001218785903	0.5098537426592906	4.850032307933447e-10	3.2275609990636877e-08
CCDC160	1.5900349761410448	2.594794273437255	0.266809733744828	4.849637849048956e-10	3.2275609990636877e-08
RGS13	19.040417154778332	1.0977813124268048	0.19071210562358115	5.316912828098748e-10	3.471371176878536e-08
KCNJ13	1.4934596832049942	2.3476185422856704	0.22673278796437357	5.629191651030145e-10	3.6683211555335694e-08
RP11-638F5.2	4.292316362666718	1.5004478033753728	0.26199439920169326	6.570979850383252e-10	4.218373644470943e-08
PRL	2.501602385220958	1.480443925408696	0.2577423031664231	6.596929890240494e-10	4.227175594603454e-08
CALML5	1.7279865005293655	3.8306033179182513	0.3716905945817101	7.529179674818582e-10	4.7626887840454976e-08
AC108142.1	9.665994390238927	1.2889228744544357	0.2262449001974631	7.602419038126815e-10	4.8002257539090296e-08
CAPN14	15.57209662536558	1.085001505338787	0.19086400454468505	8.037047266109883e-10	5.0494889520584707e-08
UNC5B-AS1	14.974456565623194	1.0491642091869746	0.18687363009787925	9.262312232513201e-10	5.722750266306636e-08
KRT31	6.634351216228169	-2.4174905410199496	0.3549165738828042	1.0499282635974166e-09	6.381787427234371e-08
GP2	85.2953162190052	3.0586265185418124	0.2811226494177871	1.0547498316148828e-09	6.391043804265758e-08
CYP4F26P	3.950307142055006	-1.7721565056636572	0.3167987685611343	1.0603820907109632e-09	6.413918852710201e-08
RP11-307C19.2	3.60049088906321	1.2880252757558017	0.2317332617466728	1.1015845852707307e-09	6.639882793382286e-08
PCDHGB4	13.672824231476184	-1.3051275491047631	0.16690192202013152	1.1188075587612427e-09	6.731946945034112e-08
HOXC-AS1	1.7613574534738705	1.7777343040087694	0.3081047883247908	1.1380439255697278e-09	6.835784539361263e-08
F5	343.3104477682697	1.1193276970021637	0.1990540237656422	1.1632254722833973e-09	6.950775322097574e-08
F7	88.986349294967	-1.2178926952764542	0.22038782648733365	1.3115100860541505e-09	7.72985244917035e-08
ABCA4	15.84020603774883	1.0485571336530413	0.1672542906140445	1.7326756228857831e-09	9.907806401196884e-08
RP11-95I16.6	8.353678554429203	1.6269586878863134	0.2938415998475889	1.8169175177336886e-09	1.0342337466303972e-07
WNT11	1035.650846844958	-1.036226614440405	0.19031697350727894	1.91803382134917e-09	1.0859844610124202e-07
MS4A1	94.53618315317583	1.2060718438105726	0.21855379021098767	2.204471349798647e-09	1.2340037516911777e-07
PCP4	129.93478073988274	-1.2846151947738582	0.2362478895952924	2.2290014926159792e-09	1.24370361150195e-07
KIR2DL4	12.347106269574004	1.0022428815869784	0.18211042766039237	2.3090375845347734e-09	1.2821469468595175e-07
LINC00330	3.3407841484254472	1.4561992714246443	0.26780086807455006	2.5110088224726804e-09	1.387603563368983e-07
RP11-685G9.2	1.3761514677764017	1.4281465856883193	0.2656685687953596	2.5258578481208875e-09	1.3935795264920002e-07
REG1A	14306.471570554128	1.133280620858178	0.29535006110134654	2.6645465131421554e-09	1.4607636106492661e-07
NPBWR1	1.8808276724431396	-1.2583065695618139	0.23414845215864818	2.693725213872442e-09	1.4697611601378578e-07
PLCXD3	8.443432480245697	1.404098090757362	0.2523450131104202	2.784848208099713e-09	1.5123126951469794e-07
